"Total energy production, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"97,647","98,644","95,512","98,089","98,157","105,522","105,037","105,660","97,839","99,729","121,151","111,070","121,548","120,771","121,780","139,026","151,304","160,044","154,360","176,207","136,412","125,974","142,876","135,143","185,425","241,968","208,474","185,464","216,291","188,513","167,083","176,678","171,048","130,990","147,013","122,856","131,444","123,308","119,618","118,756","131,831","121,391","119,517","140,196","125,622","142,177","158,538","161,690","179,462","203,991","191,483","197,028","202,254","193,328","207,602","202,400","195,297","189,556","226,297","211,051","190,713","159,734","217,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"525,949","542,470","545,190","563,334","556,744","537,412","521,326","511,035","516,649","544,165","542,511","528,345","495,255","461,159","407,660","378,461","375,246","371,398","390,886","403,546","427,539","426,710","409,682","383,837","406,004","423,587","411,509","431,969","436,342","424,510","418,688","454,192","419,139","389,800","378,302","392,487","402,677","431,179","402,163","380,835","421,004","415,224","436,130","465,910","403,362","384,286","395,985","415,561","420,124","457,609","448,125","442,423","391,931","415,809","409,032","420,410","339,194","321,011","312,278","338,631","266,033","321,968","287,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"246,959","254,618","254,125","247,840","244,366","265,567","282,917","276,368","350,977","360,694","367,103","401,403","418,073","484,658","552,424","671,598","755,766","763,671","751,370","862,180","806,730","894,776","788,020","801,768","870,711","874,679","873,153","860,852","931,145","897,291","895,587","915,650","906,483","849,933","939,342","915,036","897,903","946,961","981,306","954,676","906,847","919,223","907,334","909,456","1,008,216","1,081,846","1,135,855","1,155,645","1,149,027","1,015,290","1,083,717","1,017,385","932,379","1,035,598","1,079,274","1,020,401","814,469","854,265","920,285","848,822","681,371","720,495","730,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"90,780","86,520","88,160","85,633","89,520","85,689","83,671","83,266","84,154","84,635","80,822","86,337","90,905","93,161","91,169","105,960","125,370","170,433","229,577","210,769","160,635","156,416","206,274","240,799","334,494","313,008","310,992","397,790","404,323","427,700","395,183","413,986","357,978","372,475","475,232","507,926","484,276","467,120","527,515","506,747","522,985","503,867","515,398","559,542","521,965","526,976","528,801","513,836","539,210","543,186","553,898","556,201","542,015","568,039","568,561","573,610","600,381","603,137","612,065","612,425","629,785","632,107","625,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"189,617","203,814","218,811","223,943","234,903","243,033","270,190","262,780","265,312","246,613","256,029","258,854","257,502","253,906","260,956","270,865","318,736","333,494","374,058","413,252","521,332","566,614","588,794","644,065","694,255","752,575","684,262","661,334","704,528","677,756","677,585","674,405","683,870","681,124","666,255","641,590","657,016","677,611","676,857","678,416","676,324","662,043","662,287","655,239","656,343","680,454","712,257","753,272","857,465","991,838","1,208,383","1,465,539","2,084,191","2,579,745","3,200,832","3,618,283","3,432,533","3,617,994","4,150,052","4,631,295","4,192,301","4,218,145","4,114,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"162,249","165,702","167,635","148,751","130,599","117,921","97,962","93,073","91,836","84,141","79,603","69,169","62,205","60,537","93,325","110,629","110,612","125,583","129,507","141,003","112,471","116,874","149,711","116,081","114,350","99,899","137,775","139,150","120,485","134,743","124,747","129,264","136,677","117,190","113,934","139,927","163,985","169,302","159,911","178,350","165,633","171,657","185,965","167,896","208,164","195,462","204,132","257,245","289,496","288,270","400,708","370,291","337,622","346,751","404,498","410,610","413,489","401,581","390,545","408,336","359,639","397,603","394,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"15,540","14,720","15,416","15,334","15,585","14,607","15,750","15,648","16,739","17,690","16,544","17,008","17,285","19,416","18,395","17,107","20,502","21,410","23,145","25,139","25,219","26,481","24,959","28,591","26,181","25,853","29,882","27,618","28,788","31,154","76,857","100,923","114,946","127,746","95,109","118,070","137,736","114,990","117,740","119,957","111,548","114,108","118,236","117,590","132,365","128,120","121,220","139,517","127,024","126,512","149,311","123,087","121,505","155,880","150,867","150,380","159,358","153,268","150,690","158,779","136,209","135,943","148,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,187","20,614","21,038","23,285","23,810","23,912","24,491","25,111","27,067","29,200","66,677","70,259","78,075","71,698","76,078","67,499","79,387","114,625","132,240","116,985","133,546","184,811","206,230","130,932","111,371","240,152","199,801","277,764","296,652","280,312","277,434","295,883","264,556","298,730","272,613","219,703","156,903","185,092","323,296","342,452","338,189","347,027","350,805","335,954","309,241","347,114","361,266","355,767","358,898","391,326","377,360","386,113","382,208","388,539","371,866","380,695","346,023","386,341","366,040","308,802","310,053","324,726","328,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"1,558,406","1,579,587","1,582,891","1,614,341","1,737,603","1,840,029","1,930,714","2,035,433","2,160,437","2,153,581","2,202,421","2,199,993","2,209,238","2,147,406","2,158,349","2,099,688","2,115,479","2,095,650","2,076,653","2,134,070","2,111,345","2,079,192","1,934,316","1,849,725","1,967,785","1,945,337","1,688,951","1,768,973","1,772,566","1,841,556","1,972,033","2,004,367","2,304,298","2,530,506","2,618,451","2,677,574","2,587,683","2,657,867","2,585,923","2,565,340","2,717,322","2,768,686","2,705,673","2,683,703","2,721,262","2,736,347","2,630,404","2,511,618","2,456,435","2,389,991","2,235,402","2,238,537","2,292,461","2,350,565","2,546,674","2,661,817","2,535,745","2,782,405","3,397,195","4,299,980","4,667,709","5,393,461","6,690,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"7,814","7,786","8,458","7,734","7,924","7,529","8,801","8,441","8,489","8,097","7,531","7,450","6,965","7,268","7,260","7,676","7,465","10,858","14,107","15,053","15,959","13,681","12,262","22,793","34,668","37,045","36,712","28,850","28,200","30,731","35,480","35,205","36,513","27,285","25,679","24,002","23,486","25,519","25,839","24,168","22,538","21,025","19,671","17,484","17,762","17,524","18,671","18,603","19,069","22,020","22,992","23,149","25,424","29,142","29,502","32,497","37,880","41,600","45,216","49,082","49,158","53,936","62,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
