"Renewable energy production, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"28,471","27,478","27,796","28,595","29,601","30,986","32,846","36,000","36,514","35,957","38,278","36,736","40,217","39,956","38,538","39,670","41,835","45,399","47,194","51,121","36,966","35,335","42,155","39,535","45,873","44,427","41,449","36,458","37,065","42,998","34,476","31,790","34,027","37,825","39,116","41,861","48,979","42,117","40,646","40,970","42,122","25,055","26,833","36,365","36,864","32,418","31,898","30,176","32,102","36,398","38,022","39,735","35,927","39,613","39,201","32,750","32,824","34,861","39,507","32,654","26,046","27,292","27,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"38,883","37,729","37,615","38,725","38,510","37,108","38,863","40,369","41,601","42,215","39,213","38,020","41,382","43,051","43,797","41,793","48,561","51,373","55,242","57,535","104,264","109,687","106,183","119,381","118,334","117,108","101,620","97,622","100,455","130,239","123,037","130,449","134,693","135,766","132,498","137,743","138,415","137,018","126,027","133,593","138,647","127,839","121,672","111,046","114,116","132,727","124,501","130,786","153,013","119,573","131,655","132,020","129,106","133,397","128,587","133,762","114,572","114,543","116,868","115,031","98,806","94,212","96,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"44,186","42,271","41,564","41,693","41,873","43,091","44,084","42,707","42,959","43,319","42,244","41,408","43,712","39,873","42,275","39,694","45,173","48,180","58,730","64,810","94,669","99,499","98,898","109,037","102,743","103,625","108,056","108,710","114,209","106,561","86,607","93,057","96,126","88,322","90,995","94,695","110,098","102,095","96,473","98,008","100,813","83,345","77,921","93,991","98,585","107,180","107,203","124,816","136,611","121,038","138,194","150,591","147,926","162,684","169,113","185,784","179,844","185,293","196,023","191,196","171,519","177,681","190,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"28,441","27,142","27,479","26,381","26,549","27,094","26,728","26,329","26,795","27,125","26,493","26,846","28,439","29,079","29,445","30,537","31,541","32,020","42,722","47,583","49,308","49,986","51,845","55,021","59,176","59,625","56,236","52,851","55,530","57,807","53,887","55,957","62,139","62,166","63,970","68,125","71,941","76,107","73,043","84,072","92,184","96,985","95,620","101,719","115,285","126,930","147,834","163,737","186,228","225,619","255,313","262,962","252,838","251,990","277,897","282,999","286,182","287,802","293,060","292,702","270,280","288,035","307,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"36,110","36,095","33,947","30,636","28,979","29,755","28,835","27,056","29,769","29,508","26,776","25,438","25,090","29,800","31,990","31,465","34,386","34,792","42,593","48,307","26,988","25,816","32,219","31,843","35,874","41,361","35,278","30,657","32,616","28,581","25,636","22,676","24,491","28,018","22,666","23,014","21,666","19,917","21,476","19,870","17,606","25,285","26,051","27,223","31,068","44,917","43,917","57,634","75,450","86,576","86,793","88,207","79,725","95,636","101,235","89,187","90,837","96,718","108,694","110,378","106,053","113,688","122,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"46,565","45,532","44,673","39,154","38,448","37,759","37,816","34,261","35,452","34,609","33,527","32,841","32,432","32,195","31,279","31,152","34,819","36,230","37,576","37,510","38,097","41,070","44,643","45,071","50,468","50,892","49,196","45,439","47,412","76,403","84,868","89,510","90,830","92,435","94,862","94,192","85,740","84,291","64,175","65,132","75,389","56,085","49,641","45,346","61,251","62,678","63,223","66,060","50,044","55,625","63,661","66,400","79,599","64,692","64,555","60,409","78,099","70,474","74,723","64,556","61,708","61,133","61,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"27,312","29,514","29,088","27,929","31,292","36,437","34,729","37,055","38,298","39,671","36,465","39,457","38,549","32,173","38,210","40,908","49,489","37,918","50,828","47,605","45,088","51,279","49,756","53,509","52,429","49,351","57,544","48,617","46,950","43,745","48,576","58,291","38,588","42,671","38,247","53,403","63,002","62,159","52,877","62,847","48,460","34,795","43,959","41,954","43,020","50,835","53,477","53,921","54,880","48,228","49,138","52,967","47,751","44,604","52,018","54,987","56,933","60,108","65,560","60,957","61,080","57,919","65,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"90,780","86,520","88,160","85,633","89,520","85,689","83,671","83,266","84,154","84,635","80,822","86,337","90,905","93,161","91,169","90,483","97,627","109,436","121,076","136,690","97,637","87,522","105,218","105,980","115,118","107,971","96,382","99,145","95,315","118,549","121,053","96,191","119,723","122,911","137,151","130,618","130,134","126,557","120,693","114,627","114,931","109,382","101,615","133,211","103,900","109,727","111,786","93,807","123,468","115,960","128,088","132,128","129,293","147,553","140,087","133,363","152,881","159,944","172,150","174,743","187,618","182,433","181,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"4,090","5,238","4,815","5,429","6,775","8,854","6,914","9,804","8,879","10,396","9,989","11,424","10,945","8,514","9,734","11,868","11,636","7,331","10,878","9,896","11,023","10,195","12,403","12,555","13,484","13,108","13,653","12,268","12,111","12,099","10,208","10,866","10,473","9,561","11,764","14,029","14,531","15,889","12,791","13,829","12,858","11,443","12,637","14,191","14,297","13,110","13,784","31,526","39,739","56,759","70,208","83,064","80,223","80,205","85,175","90,946","103,943","131,210","129,993","132,333","142,724","163,208","163,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"6,379","6,114","6,003","6,032","5,732","5,708","5,814","5,713","5,952","5,826","6,244","6,240","7,264","7,346","7,067","6,914","7,493","7,563","7,845","8,184","10,460","9,387","10,464","10,473","11,783","13,619","14,079","12,762","12,426","12,213","10,327","10,274","12,166","15,413","20,292","37,083","42,234","51,014","53,159","56,059","57,269","62,354","62,937","67,120","85,344","88,457","95,559","126,304","173,420","173,659","269,408","281,007","257,929","260,223","283,984","288,409","303,787","317,718","320,007","324,704","285,098","316,439","327,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"15,540","14,720","15,416","15,334","15,585","14,607","15,750","15,648","16,739","17,690","16,544","17,008","17,285","19,416","18,395","17,107","20,502","21,410","23,145","25,139","25,219","26,481","24,959","28,591","26,181","25,853","29,882","27,618","28,788","31,154","33,675","29,759","32,553","32,719","30,267","30,028","34,337","31,253","29,751","29,290","28,931","23,330","21,182","20,912","26,233","29,439","23,154","26,615","29,295","34,299","35,279","35,579","35,691","41,707","44,518","51,195","46,807","48,776","45,495","44,889","33,157","33,153","34,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,187","20,614","21,038","23,285","23,810","23,912","24,491","25,111","27,067","28,018","28,760","28,804","31,067","32,611","35,079","32,854","36,800","39,684","42,867","45,068","50,354","56,035","50,775","61,926","50,546","51,400","43,547","40,758","43,367","36,567","25,896","35,811","38,434","36,842","41,317","43,128","41,077","39,140","38,653","39,706","40,148","28,837","28,506","26,325","26,835","19,511","21,420","20,010","22,398","32,290","34,835","34,455","35,246","39,754","42,333","32,843","33,453","30,393","31,667","30,656","30,746","31,232","33,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"6,864","6,560","6,336","6,161","6,233","5,773","5,735","5,432","5,406","5,232","5,082","4,772","4,605","4,443","4,403","5,559","6,251","7,131","7,780","9,451","5,566","7,231","7,872","9,108","9,673","10,099","10,543","7,732","7,791","7,645","6,900","7,473","7,487","7,640","7,131","7,251","6,121","7,265","6,862","7,311","7,701","6,384","6,901","7,182","8,017","17,746","19,925","22,012","22,764","19,439","20,544","20,529","20,199","22,757","23,315","21,304","27,558","31,405","40,479","45,801","42,880","55,085","78,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"7,657","6,893","7,640","7,049","6,445","6,317","7,021","6,823","6,917","6,803","6,667","6,794","6,385","6,711","6,512","7,009","6,636","7,025","7,403","7,890","10,855","9,621","8,706","18,095","23,608","19,419","19,851","10,801","9,466","12,078","12,217","15,355","14,900","16,359","15,814","16,204","17,338","19,826","21,196","20,065","18,930","17,700","16,458","14,619","15,071","14,926","16,195","16,231","16,536","19,475","20,517","20,779","23,286","27,202","27,666","30,886","36,292","39,960","43,757","47,550","48,030","52,692","61,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"100,502","119,407","128,633","123,205","119,068","124,906","134,028","137,102","145,503","152,345","148,081","146,920","154,346","159,810","160,434","156,809","167,710","161,823","173,677","184,538","219,986","231,595","217,430","248,273","221,079","224,266","220,133","205,392","198,816","204,793","193,907","188,187","200,666","218,218","217,354","211,900","238,701","282,909","259,886","250,461","260,001","190,812","194,025","194,140","199,633","194,959","196,343","194,800","219,108","180,061","187,869","204,683","190,141","204,370","212,086","227,757","227,550","240,778","241,223","246,309","220,498","218,204","220,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"36,822","36,264","36,861","38,113","37,942","38,645","41,464","39,598","43,406","44,407","44,097","43,457","44,878","46,549","48,339","46,247","52,786","58,541","69,599","74,626","107,332","112,891","115,079","130,158","126,946","129,388","116,494","120,705","126,373","105,793","73,445","79,123","74,555","52,459","78,623","70,616","76,203","70,737","64,451","71,466","75,371","47,564","34,852","44,537","46,444","51,006","51,581","59,329","108,120","93,640","122,602","135,329","131,203","144,431","156,342","154,186","155,499","154,851","159,994","158,794","140,720","149,818","154,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"12,589","12,937","11,435","9,292","9,214","10,422","9,477","9,509","12,744","13,673","11,775","11,551","16,641","24,516","23,592","22,046","18,576","20,457","25,164","30,683","15,685","15,622","21,442","21,469","23,266","29,000","24,423","25,339","22,982","33,554","30,827","27,715","30,828","37,904","32,764","34,109","36,724","35,316","36,785","33,680","31,931","32,162","27,475","29,515","38,618","38,418","35,125","42,494","35,640","41,925","54,040","56,106","62,854","83,210","81,514","88,563","111,740","125,923","140,990","151,113","149,559","159,221","182,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"98,889","98,494","102,510","102,818","110,005","114,175","115,562","117,729","128,897","153,969","159,510","176,493","181,788","154,643","179,758","175,662","188,065","156,515","186,895","179,986","190,297","202,366","242,649","253,790","262,774","242,735","245,960","228,630","230,898","214,865","199,135","196,028","154,400","166,797","152,449","185,887","206,337","212,960","183,478","198,266","177,442","151,082","165,419","158,285","162,061","155,361","180,642","171,426","180,012","183,792","179,846","220,185","218,619","213,316","222,513","213,447","223,209","240,020","237,466","217,800","222,489","211,626","219,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"52,683","50,343","50,913","51,746","51,558","51,907","53,572","54,815","54,621","55,361","57,850","55,071","59,430","61,297","62,288","62,841","71,329","75,860","85,255","98,356","131,704","143,018","136,726","158,825","141,849","141,404","106,997","100,095","103,307","87,972","71,799","76,757","89,723","88,372","93,125","99,282","110,221","99,363","94,386","95,979","97,972","84,228","81,262","86,730","87,507","87,643","86,766","88,952","96,738","105,012","132,136","146,121","140,410","162,543","157,635","163,338","160,530","163,435","173,115","161,400","144,569","147,335","155,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"2,888","2,953","3,100","3,195","3,505","3,549","3,757","4,113","4,233","4,402","5,245","4,842","4,893","5,076","4,991","4,026","4,682","5,270","6,550","7,101","7,279","6,644","6,029","7,379","4,933","5,081","4,653","3,302","3,528","3,771","4,429","4,515","4,770","5,116","5,001","5,015","5,490","4,295","4,137","4,360","4,486","3,875","3,673","3,745","3,807",831,"2,570","2,731","2,913","3,517","3,662","3,568","2,848","2,580","4,208","4,646","4,276","4,689","5,030","6,356","7,323","7,012","7,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"55,439","52,845","51,541","50,928","56,855","52,586","49,417","47,544","50,503","51,519","48,824","53,944","53,756","56,619","55,603","56,938","59,585","59,462","61,587","64,051","50,083","43,319","52,036","53,379","57,947","53,685","80,878","80,176","77,738","82,727","83,051","85,812","87,708","89,878","93,678","100,846","110,726","111,865","105,738","85,469","82,051","62,093","71,243","79,189","81,271","84,851","88,493","88,885","89,306","88,228","100,289","107,698","111,031","114,914","121,280","113,404","117,849","120,629","125,620","126,976","128,471","125,590","128,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"5,481","5,345","6,520","11,217","11,830","14,330","17,608","17,970","20,425","22,746","23,594","27,599","26,557","17,787","20,599","28,521","25,744","19,955","25,337","23,678","23,189","21,216","22,057","22,294","23,559","22,329","23,658","21,961","22,947","20,173","16,911","16,672","16,030","12,370","21,677","24,738","31,577","34,628","23,776","27,110","24,066","17,555","25,723","38,636","58,958","72,430","91,761","95,833","124,231","148,574","167,998","175,625","166,503","167,188","173,960","182,086","187,695","193,359","202,209","205,851","200,633","229,971","234,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"74,957","73,329","76,268","72,432","77,432","76,396","75,178","79,710","78,078","79,312","81,286","86,531","95,548","97,984","97,696","94,729","94,118","103,215","102,006","121,834","99,231","95,001","115,611","119,697","132,253","121,030","119,226","122,562","117,298","122,373","95,777","103,987","100,715","91,459","103,171","98,704","97,411","89,021","88,253","81,264","80,237","94,271","99,282","109,392","116,421","105,727","92,730","84,137","98,738","114,074","114,582","118,234","115,354","133,045","123,812","124,355","113,585","114,716","125,857","122,868","126,214","124,427","100,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
