"Nuclear energy consumed for electricity generation, total, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0,0,"1,453","2,293","2,132","3,983","5,801","4,808","4,426","4,113","4,200","22,935","32,490","4,641","79,031","109,371","110,182","143,373","164,699","173,339","188,239","166,124","178,651","152,652","142,886","129,671","150,251","188,799","225,547","228,682","283,290","197,365","299,627","147,836","256,879","281,789","229,964","131,076","152,473","196,925","278,941","324,615","291,332","318,700","343,048","303,305","330,581","329,075","228,540","309,636","344,155","293,619","302,194","326,800","306,773","329,999","338,675","318,655","343,639","316,854","358,114","271,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,8,669,"1,693","1,498","1,624",167,0,0,"15,106","38,405","35,654","48,695","107,372","109,482","120,211","126,822","125,146","109,374","112,360","112,911","128,164","90,306","122,923","116,919","120,643","130,279","115,634","128,458","126,427","116,923","125,902","127,761","139,149","127,035","113,536","122,158","139,148","135,160","123,113","142,897","139,799","138,645","133,948","137,569","137,437","135,843","129,623","140,873","125,134","125,159","111,885","132,904","125,900","144,970","145,426","152,657","147,280","153,319","147,286","153,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,978","85,290","75,854","65,615","94,731","88,307","84,635","104,624","84,647","88,038","104,588","86,597","93,376","93,970","89,349","89,730","104,205","87,557","87,605","101,089","81,658","83,807","105,567","98,302","98,025","107,175","94,027","98,062","112,317","87,428","97,021","109,182","98,630","86,853","111,401","95,961","80,874","44,766","92,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,789","46,014","43,233","80,577","101,592","82,824","78,541","95,750","85,587","83,019","100,493","84,196","96,886","113,467","96,418","88,075","111,534","103,635","105,041","113,625","106,707","105,172","108,718","98,164","98,215","115,033","100,791","108,164","76,456","113,523","107,228","122,511","61,680","77,027","72,343","115,202","67,595","122,771","89,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,477","27,744","60,997","108,501","74,080","62,997","68,894","101,057","134,819","219,376","205,037","214,610","298,644","309,008","309,152","274,130","317,795","238,255","249,564","338,080","377,308","354,142","340,563","406,822","392,121","408,054","394,485","413,784","426,332","418,065","417,249","417,016","420,029","415,742","427,226","425,810","424,073","412,722","420,486","428,474","440,248","447,500","443,192","439,915","437,683","442,166","449,675","444,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,0,0,0,886,"1,082",-64,0,0,0,0,0,0,0,"6,536","44,596","65,153","64,335","80,249","84,522","94,196","63,082","66,048","96,917","66,321","62,676","43,911","81,009","89,684","72,391","85,480","79,485","84,372","91,605","71,481","66,321","78,650","99,325","97,267","86,643","105,452","89,988","91,127","105,696","83,344","106,796","91,856","93,943","115,815","99,075","98,682","115,540","72,549","60,795","71,736","105,655","107,976","97,798","72,300","58,884","72,589","64,646","71,758","58,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,182","71,164","82,393","95,028","64,842","88,042","103,399","83,736","87,988","90,667","82,617","90,778","97,054","96,677","106,132","98,682","98,067","112,902","97,729","92,214","114,032","87,508","85,814","114,173","106,350","99,186","112,551","104,493","105,195","113,890","103,052","102,789","113,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,"1,182","37,917","41,455","47,008","39,087","41,000","34,645","42,587","74,941","89,372","71,918","83,192","128,776","155,455","69,006","60,825","188,752","156,254","237,006","253,285","243,746","251,538","260,072","226,122","261,888","231,296","176,576","115,826","145,951","284,643","302,746","298,041","318,190","322,299","309,629","282,407","327,604","339,846","335,757","336,500","359,036","342,526","351,658","346,962","348,784","329,533","347,851","312,569","355,948","334,373","278,147","279,308","293,494","295,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,0,0,706,"7,017","4,555","8,585","9,274","13,321","12,131","14,042","46,908","70,670","69,775","78,793","103,490","144,387","172,988","221,730","237,431","201,340","210,259","192,412","159,870","178,577","229,730","255,910","233,632","239,397","256,306","241,794","249,982","298,252","252,926","282,445","305,527","276,714","369,977","310,304","328,512","386,844","328,597","421,845","413,686","423,959","423,797","442,937","440,606","445,288","451,622","454,806","437,620","446,761","427,277","467,651","450,141","466,457","434,791","441,029","448,718","468,481","401,441","325,141","279,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,0,0,0,0,207,255,17,0,0,0,0,0,0,0,0,0,0,"5,039","26,533","34,412","23,115","48,607","35,722","53,479","46,759","20,638",254,"78,448","89,635","133,993","112,845","155,507","155,028","105,152","114,473","176,182","146,195","160,882","172,847","171,610","175,013","161,488","113,451","88,327","166,328","154,481","175,798","165,349","183,055","159,040","165,192","155,806","179,055","168,451","170,319","181,726","175,893","184,997","191,483","177,624","190,316","182,330","175,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"23,227","69,916","17,104","48,900","58,844","70,856","53,062","40,186","51,348","73,406","74,912","45,399","67,204","56,080","64,273","15,363","47,880",-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"2,674","3,548","3,717","4,221",301,"3,691","6,107","6,968","5,286","4,579","5,102","4,823","3,112","3,941","78,108","174,766","181,447","191,913","244,304","204,484","131,893","157,462","182,395","160,505","233,815","278,637","421,260","365,282","401,416","414,489","611,503","602,575","629,650","623,208","702,446","698,311","721,262","709,967","641,517","743,282","769,361","769,971","794,521","774,989","807,739","796,157","785,731","811,600","822,134","808,770","813,462","796,798","787,753","822,483","823,277","842,044","867,302","870,187","872,749","869,084","799,342","791,587","794,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,468,880,852,94,0,0,76,"26,162","52,110","67,229","123,406","214,291","197,186","185,645","212,875","198,220","189,846","191,120","145,677","278,962","251,939","338,056","376,882","410,268","431,984","431,569","453,763","451,945","476,813","485,168","464,760","516,666","457,627","471,343","511,535","531,002","530,708","520,792","556,829","525,453","533,920","554,544","530,071","558,014","541,026","545,434","543,379","553,573","535,952","566,879","548,246","555,909","583,883","568,390","551,151","585,828","571,930","560,782","567,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,105,770,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,660","51,886","111,885","153,222","135,551","102,737","-1,107","-1,124","41,776","165,130","148,175","173,895","163,909","34,714","124,717","165,048","240,773","258,656","297,814","284,525","269,327","298,424","287,927","251,718","298,369","290,153","257,523","301,038","282,514","281,996","289,930","281,682","263,045","297,732","289,401","261,037","309,357","332,779","378,224","372,992","383,245","368,461","371,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,201","105,722","167,823","207,582","256,502","130,321","300,448","379,842","375,656","392,031","405,846","384,141","391,670","398,535","371,923","348,485","421,660","398,994","430,593","429,577","425,682","434,024","432,036","414,881","402,823","400,353","410,907","411,571","440,109","403,523","430,597","431,234","432,869","419,363","433,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,0,0,0,0,0,0,0,0,0,0,0,0,"4,836","74,765","66,437","98,782","85,506","102,103","154,249","76,758","125,071","196,535","192,897","203,636","184,824","236,905","224,429","189,468","223,036","150,955","252,065","250,424","244,334","238,323","265,782","264,092","276,085","284,220","285,716","295,742","295,361","269,003","285,549","258,633","295,272","291,357","287,938","286,019","291,932","295,072","277,729","267,334","300,992","306,430","316,081","293,455","310,966","319,562","305,826","308,013","314,843","297,972","294,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,"1,828","17,422","27,708","39,220","36,013","38,097","35,456","37,521","32,497","39,362","46,222","31,298","36,170","31,860","21,776","36,927","43,615","38,171","38,267","43,072","39,105","35,421","45,106","40,541","39,899","44,776","35,226","42,418","47,432","43,559","41,378","46,317","40,231","42,491","53,287","49,337","51,163","56,067","49,986","51,351","52,283","50,639","52,929",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,0,0,0,0,0,0,"11,497","23,287","44,091","40,475","28,693","27,667","31,500","48,321","43,409","36,432","26,568","46,468","45,301","39,301","22,269","22,523","40,206","38,098","57,614","85,377","89,276","57,728","63,616","64,745","60,762","44,346","59,605","74,946","70,444","72,938","58,691","65,526","72,556","63,598","89,744","86,159","94,484","79,360","93,660","86,016","97,341","85,051","96,886","69,385","96,588","50,293","97,808","88,408","99,332","85,347","100,674","85,013","101,502","92,584","98,475","88,764","102,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,"1,725","37,596","35,547","64,894","92,144","113,356","118,450","117,864","128,208","113,175","108,111","107,201","113,696","101,404","116,513","116,623","118,477","118,109","121,546","114,802","118,793","115,234","117,350","120,424","120,370","115,258","106,305","41,093","98,586","120,120","120,059","120,168","129,991","127,310","123,966","103,535","127,657","135,416","127,039","132,653","138,812","120,962","149,845","121,994","98,807","104,666","106,173","100,919","105,900","104,736","102,071","103,979","105,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"6,026","19,678","26,394","38,147","39,819","43,164","64,158","88,456","141,534","153,722","239,347","412,939","583,752","910,177","1,272,083","1,899,798","2,111,121","2,701,762","3,024,126","2,775,827","2,739,169","3,007,589","3,131,148","3,202,549","3,552,531","4,075,563","4,380,109","4,753,933","5,586,968","5,602,161","6,104,350","6,422,132","6,479,206","6,410,499","6,693,877","7,075,436","7,086,674","6,596,992","7,067,809","7,610,256","7,862,349","8,028,853","8,145,429","7,959,622","8,222,774","8,160,810","8,214,626","8,458,589","8,426,491","8,355,220","8,434,433","8,268,698","8,061,822","8,244,433","8,337,559","8,336,886","8,426,753","8,418,968","8,438,068","8,451,852","8,251,075","8,130,913","8,046,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
