"Natural gas total consumption (excluding supplemental gaseous fuels), billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"73,315","76,520","84,796","89,004","94,255","100,979","102,826","121,287","129,702","147,720","159,584","164,689","180,283","177,629","175,541","141,854","149,642","135,168","139,642","179,631","162,955","177,238","159,832","148,327","162,784","155,581","157,872","174,143","177,667","198,687","180,566","182,961","189,963","186,562","190,998","198,577","200,827","219,008","195,457","202,525","219,031","184,783","203,489","204,345","201,801","211,830","189,179","208,439","202,744","203,604","217,625","199,132","216,558","206,126","217,227","225,969","229,508","232,723","312,824","311,631","294,026","299,282","310,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,522,775,819,"1,139","1,315","1,475","1,554","1,657","1,635","1,976","2,083","2,047","2,166","2,162","2,162","2,288","2,686","2,475","2,528","2,620","2,549","2,747","3,283","3,930","4,572","5,001","5,333","5,191","5,268","5,538","5,821","6,470","5,789","6,646","48,041","101,190","126,275","73,517","89,581","64,818","67,557","67,227","74,494","73,569","80,988","75,061","70,451","65,886","62,423","54,203","54,509","45,125","48,370","46,301","47,028","57,233","62,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"382,980","422,582","459,179","470,503","505,780","563,563","626,782","699,131","711,046","788,222","821,261","863,320","877,742","929,555","942,595","894,795","895,140","745,743","793,936","880,367","874,651","811,399","762,073","710,144","727,492","717,041","686,621","668,667","763,254","797,304","879,335","889,956","964,201","924,909","917,002","970,995","1,017,096","987,593","871,603","947,027","971,656","924,496","984,715","950,714","938,628","927,535","816,993","814,887","797,534","750,783","758,696","787,337","804,084","831,741","878,128","871,834","926,828","908,197","1,010,919","1,054,986","1,004,204","950,364","1,087,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"186,121","199,324","221,625","218,609","236,502","248,244","265,810","285,350","315,017","328,944","343,007","352,144","352,111","360,450","351,995","331,518","319,516","292,501","312,196","332,631","284,941","264,845","263,011","246,314","256,402","258,499","244,526","239,750","285,439","301,369","291,771","318,200","312,165","331,511","327,091","357,493","374,298","360,264","337,078","351,078","367,359","344,882","374,171","374,189","362,346","372,082","358,198","395,658","435,086","405,516","427,186","424,958","430,277","478,611","490,111","448,557","466,365","466,884","514,172","549,487","496,026","523,812","533,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"270,074","284,094","299,614","309,137","332,023","347,967","357,396","367,195","372,856","406,671","432,532","432,108","428,192","424,673","411,933","371,837","381,399","367,704","360,269","340,138","322,842","287,706","282,312","264,229","269,127","263,961","244,317","234,492","254,438","252,657","241,335","258,636","241,227","280,680","267,762","281,056","296,414","285,391","261,463","269,052","288,058","288,586","278,873","265,133","268,289","273,386","257,924","277,919","298,421","266,711","282,123","275,308","258,945","281,399","301,368","270,885","273,583","264,614","330,552","327,798","303,719","293,633","322,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"187,874","190,591","199,391","222,937","250,528","250,626","284,500","288,650","319,377","333,993","369,391","387,779","387,436","321,528","283,104","235,345","203,702","202,631","208,038","260,547","270,909","249,062","276,666","244,281","276,617","233,010","220,195","212,336","216,397","232,394","261,921","257,004","250,696","235,310","266,219","295,377","277,468","264,210","252,445","317,777","312,078","340,904","354,550","275,147","290,512","310,713","315,909","374,990","364,237","371,245","444,875","437,873","499,946","426,902","439,557","536,996","561,342","543,721","591,886","583,800","610,285","576,903","622,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"57,638","61,314","65,680","66,566","69,486","70,795","72,116","64,908","62,835","78,205","90,601","91,096","87,020","93,117","81,667","81,190","75,412","71,595","72,686","69,114","61,453","53,029","52,782","46,619","47,098","47,312","41,148","39,561","42,872","46,671","44,378","46,719","46,615","54,265","53,315","59,571","63,251","61,699","61,398","63,624","69,590","66,483","70,992","70,048","68,567","71,089","75,135","75,077","77,645","76,635","72,888","79,470","75,234","82,298","80,063","77,443","77,589","83,319","90,778","92,649","87,481","87,105","93,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"47,032","52,291","58,346","64,539","70,932","78,245","89,442","100,822","117,794","140,204","154,856","164,420","167,831","165,215","143,722","116,889","102,996","73,905","83,695","133,751","155,149","154,283","146,759","141,025","148,682","138,331","140,256","153,261","156,550","166,835","166,744","172,818","186,902","192,526","195,303","212,010","222,106","223,419","222,659","224,741","240,727","215,600","243,143","227,387","232,214","237,525","230,169","244,475","249,654","252,729","308,710","311,189","367,948","445,018","462,289","516,026","540,271","520,659","599,308","569,405","557,570","637,553","747,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"27,356","29,310","32,045","32,283","33,390","32,437","31,864","32,049","33,317","32,944","33,731","34,618","37,604","33,206","35,530","36,862","41,177","37,650","39,067","29,236","23,830","35,457","29,003","27,302","22,888","25,551","21,367","20,616","25,018","25,922","28,045","36,122","32,147","36,274","39,325","41,663","45,716","53,699","45,753","53,404","53,421","57,334","61,592","56,088","56,410","49,643","50,007","56,842","60,480","51,921","64,263","72,247","71,873","82,334","89,095","100,852","105,625","112,146","130,084","157,419","182,601","191,168","193,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"140,430","144,566","149,324","145,771","160,545","164,719","195,864","187,907","202,938","209,613","224,114","225,463","226,358","230,780","223,253","217,521","197,442","188,426","162,693","168,959","159,483","133,481","135,550","124,993","129,488","121,224","101,872","105,571","117,991","116,612","106,854","111,956","103,220","122,210","123,981","133,675","133,525","132,007","131,114","121,364","127,260","124,051","121,174","119,741","116,006","120,125","131,424","153,490","172,858","165,418","169,608","173,657","161,770","179,617","179,705","170,346","172,929","175,613","196,445","198,771","192,725","191,008","198,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"2,952","3,124","3,431","3,607","3,817","4,133","4,197","4,522","4,208","5,826","6,796","7,658","8,015","8,120","8,391","7,707","7,919","7,617","8,204","8,699","8,874","9,709","9,686","9,522","10,116","10,393","10,197","11,840","12,830","13,606","14,265","14,098","16,907","16,932","19,813","20,046","19,295","21,146","19,233","20,383","26,207","24,757","26,077","56,415","63,829","72,934","64,644","64,856","74,025","62,049","62,612","72,778","74,336","55,649","58,785","70,742","59,638","53,633","51,471","55,366","53,630","60,116","60,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"144,132","159,189","180,307","197,097","209,714","219,196","236,816","261,542","278,430","316,113","331,247","335,264","329,642","309,709","282,201","251,669","332,467","255,522","236,852","269,934","341,149","391,491","377,216","407,751","419,435","375,320","350,584","418,223","409,818","468,254","447,829","495,053","625,894","651,646","706,021","713,123","718,698","735,341","696,034","737,575","617,898","573,040","617,094","635,689","644,467","625,429","566,724","640,236","634,694","638,324","671,005","677,521","670,827","711,999","805,145","778,866","793,928","734,147","799,555","790,685","678,931","697,019","754,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"207,301","218,948","247,090","239,911","226,697","224,253","247,390","280,382","286,329","276,591","292,522","291,726","311,897","274,018","273,397","255,637","294,878","242,912","225,451","223,092","231,330","205,433","213,347","184,595","169,781","162,312","144,532","164,588","185,246","205,131","251,470","227,349","211,096","224,999","221,479","219,476","233,557","261,881","241,406","231,312","259,018","259,626","229,691","225,220","229,164","225,352","227,661","239,858","252,831","247,947","246,201","251,838","249,815","252,867","256,056","260,038","259,158","249,357","281,322","305,538","292,626","285,809","302,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"12,883","16,419","18,141","20,681","25,579","29,395","36,305","36,822","39,177","46,700","56,868","71,965","75,223","77,967","67,689","65,355","71,205","74,534","66,305","85,539","62,016","78,744","49,889","44,691","44,747","41,626","35,772","41,694","48,338","65,538","66,759","68,175","81,193","87,493","104,940","112,502","126,894","135,497","154,656","159,981","194,126","181,256","181,010","191,050","221,648","236,007","257,595","262,547","274,915","284,007","267,808","255,970","281,432","282,245","261,902","312,602","316,653","305,309","310,875","315,564","310,715","305,212","302,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"434,127","450,630","491,055","520,712","527,890","558,658","645,684","602,670","653,282","698,046","725,813","731,597","707,277","703,023","641,925","585,536","604,276","567,877","576,482","633,562","752,573","770,856","790,695","738,159","809,500","782,888","749,210","801,487","812,385","869,652","894,964","916,539","1,032,726","1,021,481","1,094,082","1,293,868","1,229,479","1,357,187","1,266,346","1,308,185","1,278,811","1,204,885","1,227,223","1,131,344","1,126,597","1,107,206","1,120,196","1,214,349","1,205,137","1,166,614","1,224,484","1,247,757","1,260,950","1,315,282","1,392,378","1,396,693","1,336,455","1,276,905","1,393,657","1,337,750","1,305,282","1,359,437","1,402,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"724,824","746,456","784,630","826,138","852,659","909,391","975,841","994,595","1,018,464","1,063,953","1,077,151","1,112,130","1,174,203","1,131,760","1,114,904","978,885","1,031,075","867,837","950,973","920,390","841,059","818,902","770,419","708,534","768,864","739,854","744,329","747,082","837,475","847,953","775,706","798,398","838,235","864,580","871,347","923,007","966,665","936,758","842,630","871,913","926,922","836,825","862,453","877,891","862,397","860,874","770,872","835,555","823,457","770,759","810,593","848,771","869,556","945,731","1,058,802","1,031,716","994,162","1,014,299","1,236,747","1,260,474","1,235,037","1,294,814","1,421,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"319,270","316,051","416,403","490,988","522,805","480,079","449,319","460,163","507,884","558,754","616,279","631,152","649,909","625,808","681,130","678,851","770,752","787,694","788,658","844,294","738,931","694,455","692,328","655,366","669,277","603,855","570,749","617,551","611,171","620,318","628,222","589,960","565,655","600,099","595,671","586,432","587,957","573,479","583,964","550,768","546,706","505,220","522,530","556,306","555,273","600,011","644,381","677,472","711,379","681,062","697,351","676,910","712,411","682,277","667,360","711,393","736,164","692,145","842,224","873,688","844,903","745,911","782,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"31,941","35,011","39,190","46,731","57,979","59,990","69,324","73,999","83,504","92,598","99,572","105,437","115,326","114,331","102,365","114,184","95,830","75,567","90,025","97,905","82,324","78,887","73,916","69,791","81,467","85,486","72,523","82,487","89,162","111,807","111,724","127,778","127,163","141,796","152,929","152,111","188,209","193,771","239,269","246,996","230,962","235,634","206,808","215,102","238,049","239,539","229,731","260,240","274,659","254,837","242,914","203,607","220,578","244,265","226,472","245,897","249,829","262,532","271,311","302,229","282,518","305,665","297,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"540,094","547,651","568,742","609,513","632,666","652,906","702,888","701,546","741,600","791,217","797,877","828,583","856,316","811,496","732,721","670,085","731,356","682,372","688,256","756,079","789,585","791,190","708,310","658,671","699,645","646,711","631,709","658,802","692,470","714,659","680,468","666,938","717,188","731,693","738,865","761,428","770,927","730,639","667,150","713,447","727,214","668,960","700,472","717,461","723,189","719,117","684,695","780,090","778,251","839,453","909,259","1,000,507","1,079,495","1,175,535","1,304,080","1,313,350","1,354,340","1,404,240","1,515,912","1,679,486","1,783,781","1,868,137","1,936,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"12,253","13,227","14,277","15,343","16,145","17,036","17,385","19,251","21,574","23,503","25,620","26,201","22,966","20,888","24,090","23,453","20,966","25,964","23,339","27,526","27,948","28,873","28,134","29,445","32,535","30,725","26,931","36,824","31,217","34,628","40,399","77,996","117,757","76,502","112,094","103,499","127,144","120,513","134,033","120,719","91,787","98,571","89,824","80,339","74,352","82,460","78,517","90,259","91,220","94,877","95,710","102,465","98,435","88,274","91,374","96,514","88,471","94,730","104,748","97,931","100,985","105,473","93,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"60,581","63,060","73,118","78,478","82,101","90,513","100,873","104,561","132,104","145,896","164,305","160,638","148,156","157,128","135,291","125,900","152,416","141,633","121,336","121,479","146,846","145,000","100,978","104,301","111,184","100,109","101,474","108,597","115,146","119,649","134,089","137,393","141,758","145,591","148,708","155,957","153,883","158,673","164,881","167,960","165,026","147,167","190,714","151,904","169,518","178,308","181,895","182,201","175,858","197,419","225,961","235,465","250,481","236,942","236,040","284,013","284,225","287,408","338,951","347,904","343,349","349,990","361,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
