"Renewable energy total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"28,471","27,478","27,796","28,595","29,601","30,986","32,846","36,000","36,514","35,957","38,278","36,736","40,217","39,956","38,538","39,670","41,835","45,399","47,194","51,121","36,966","35,409","42,156","39,536","45,874","44,432","41,453","36,458","37,065","42,998","34,476","31,790","34,027","37,825","39,116","42,126","49,203","42,372","40,856","41,184","42,360","25,084","29,893","36,390","36,899","37,338","45,719","47,438","47,433","54,631","61,233","62,268","58,471","64,565","63,530","58,334","58,363","60,362","63,861","57,000","45,798","49,587","48,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"38,883","37,729","37,615","38,725","38,510","37,108","38,863","40,369","41,601","42,215","39,213","38,020","41,382","43,051","43,797","41,793","48,561","51,373","55,242","57,535","104,264","109,699","106,183","119,381","118,334","117,108","101,620","97,622","100,455","130,239","123,037","130,449","134,693","135,766","132,498","137,743","138,415","137,018","126,027","133,593","138,647","127,842","121,676","111,050","114,122","133,131","125,129","131,678","157,201","124,882","136,581","137,230","134,375","140,024","135,275","140,942","122,754","122,041","123,229","121,219","104,563","100,381","101,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"44,186","42,271","41,564","41,693","41,873","43,091","44,084","42,707","42,959","43,319","42,244","41,408","43,712","39,873","42,275","39,694","45,173","48,180","58,730","64,810","94,669","100,139","100,602","113,600","107,234","107,203","110,933","112,789","118,420","110,599","90,787","98,544","100,867","93,903","97,443","98,922","111,880","104,363","99,402","101,323","108,675","88,213","88,212","103,314","107,972","121,265","120,109","132,445","148,718","139,130","149,986","165,125","165,146","182,869","187,932","202,084","197,792","197,587","206,029","202,134","181,774","189,100","200,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"28,441","27,142","27,479","26,381","26,549","27,094","26,728","26,329","26,795","27,125","26,493","26,846","28,439","29,079","29,445","30,537","31,541","32,020","42,722","47,583","49,308","50,015","51,883","55,050","59,197","61,907","58,838","54,444","56,764","58,607","54,979","58,373","65,245","70,211","73,382","77,675","76,729","82,546","80,365","87,458","93,403","96,083","92,437","95,537","104,620","108,272","112,712","131,914","146,841","166,627","189,230","194,486","193,188","191,780","211,431","215,727","217,860","217,891","223,685","225,170","204,836","213,105","230,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"36,110","36,095","33,947","30,636","28,979","29,755","28,835","27,056","29,769","29,508","26,776","25,438","25,090","29,800","31,990","31,465","34,386","34,792","42,593","48,307","26,988","25,816","32,293","31,899","35,981","41,483","35,386","30,842","33,753","30,156","27,826","24,654","26,821","30,680","25,653","25,012","22,717","20,496","22,132","21,279","19,220","25,500","28,683","30,297","34,348","47,000","42,248","54,381","69,737","77,365","85,120","81,460","72,612","83,292","87,044","79,173","79,283","82,338","88,023","91,521","83,687","93,976","101,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"46,565","45,532","44,673","39,154","38,448","37,759","37,816","34,261","35,452","34,609","33,527","32,841","32,432","32,195","31,279","31,152","34,819","36,230","37,576","37,510","38,097","41,070","44,643","45,071","50,468","50,892","49,196","45,439","47,412","76,403","84,868","89,510","90,830","92,918","95,203","94,383","85,759","84,291","64,175","65,132","75,389","56,103","49,669","45,369","61,297","62,951","63,631","64,570","50,436","56,832","74,760","75,573","88,537","76,894","78,041","74,213","76,933","71,291","72,143","68,301","66,117","66,311","65,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"27,312","29,514","29,088","27,929","31,292","36,437","34,729","37,055","38,298","39,671","36,465","39,457","38,549","32,173","38,210","40,908","49,489","37,918","50,828","47,605","45,088","51,267","49,784","53,494","52,381","49,266","57,423","48,477","46,790","43,593","48,460","58,187","38,500","42,724","38,106","53,342","62,959","62,094","52,849","62,836","48,460","34,881","44,049","42,039","43,153","51,744","54,572","55,764","57,181","50,885","51,577","56,099","51,194","48,249","55,616","59,441","61,653","64,810","70,187","65,678","65,547","62,550","68,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"90,780","86,520","88,160","85,633","89,520","85,689","83,671","83,266","84,154","84,635","80,822","86,337","90,905","93,161","91,169","90,483","97,627","109,436","121,076","136,690","97,637","87,649","105,279","106,003","115,382","108,761","96,382","99,145","95,315","118,549","121,053","96,609","119,993","123,182","138,184","130,716","132,874","129,323","124,075","117,528","118,207","113,906","107,182","140,514","111,731","111,931","114,873","98,099","147,617","147,000","159,532","163,785","162,733","183,546","175,197","170,230","175,777","184,436","193,521","196,249","199,763","194,604","192,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"4,090","5,238","4,815","5,429","6,775","8,854","6,914","9,804","8,879","10,396","9,989","11,424","10,945","8,514","9,734","11,868","11,636","7,331","10,878","9,896","11,023","10,128","11,878","11,502","12,221","11,942","12,655","11,163","10,839","10,923","9,193","9,772","9,616","8,499","10,675","12,956","14,272","15,086","11,747","12,906","11,741","10,285","10,991","12,237","12,511","12,557","13,501","19,887","24,528","35,867","45,071","53,464","52,191","53,056","57,967","58,988","67,080","85,132","84,143","85,438","90,510","93,479","97,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"6,379","6,114","6,003","6,032","5,732","5,708","5,814","5,713","5,952","5,826","6,244","6,240","7,264","7,346","7,067","6,914","7,493","7,563","7,845","8,184","10,460","9,686","11,203","11,951","13,404","14,497","14,841","13,848","13,631","13,935","11,735","12,098","13,687","13,949","15,661","23,542","27,325","30,558","31,247","32,897","33,498","35,615","36,751","38,720","45,858","45,336","47,746","60,567","81,198","81,781","122,683","127,726","117,463","120,479","132,152","135,818","141,423","148,750","150,870","156,693","145,728","158,263","168,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
