"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"353,177","348,191","369,692","373,975","391,581","410,242","432,553","412,949","439,115","465,103","528,914","587,854","650,889","695,256","671,671","593,652","607,311","617,684","627,433","600,818","532,945","496,635","472,074","486,226","517,865","484,616","485,939","516,249","533,782","571,851","505,810","492,584","494,384","517,723","520,692","482,528","502,599","509,621","542,867","568,415","546,998","566,433","544,694","570,714","590,242","603,981","538,678","531,469","507,179","508,121","498,084","480,594","470,103","478,356","484,711","499,114","473,761","471,176","478,071","474,496","398,063","433,236","410,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"152,342","168,340","163,744","168,899","177,055","171,429","180,137","193,495","204,211","216,022","230,972","281,791","304,132","294,332","258,683","222,178","258,409","263,043","244,392","223,074","198,340","194,633","230,398","177,768","207,391","209,101","245,667","234,781","280,038","258,047","247,447","236,445","232,092","239,297","253,439","243,867","251,711","256,438","253,121","266,171","259,350","227,875","230,101","265,720","260,353","263,938","235,253","233,431","201,971","202,702","189,831","188,435","170,117","182,365","185,791","194,972","186,073","181,474","171,106","166,809","157,504","163,819","166,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"713,352","715,745","739,170","752,116","762,674","791,646","824,626","845,652","899,703","941,717","955,898","991,998","1,074,861","1,122,745","1,082,014","1,076,579","1,143,534","1,170,987","1,215,137","1,038,344","906,659","817,824","745,764","747,226","782,143","812,411","848,190","879,671","911,829","911,714","871,782","873,873","876,843","903,733","904,323","927,445","949,317","978,548","982,332","1,034,821","991,862","980,720","992,007","968,414","979,694","978,894","926,618","919,768","836,361","803,633","818,681","800,574","782,775","835,651","851,420","864,500","880,310","870,243","896,542","882,393","756,789","814,491","822,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"381,283","374,735","391,131","397,851","401,486","424,101","450,411","433,071","471,719","498,747","512,466","527,837","583,054","602,583","575,569","556,785","599,225","584,823","601,144","567,901","498,349","450,175","467,279","460,833","488,996","481,704","494,237","487,282","501,511","503,752","502,903","509,447","538,597","547,209","565,003","585,943","621,533","614,840","613,318","641,002","657,500","652,093","650,633","671,245","688,025","700,917","680,945","678,958","643,535","593,753","589,241","580,208","585,141","600,937","602,446","595,108","617,838","612,002","624,866","640,465","545,918","567,041","573,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"403,574","403,064","420,475","430,599","437,130","461,941","476,235","494,891","544,102","561,646","571,688","584,900","612,120","632,136","610,794","613,301","644,310","667,599","694,616","658,767","560,667","535,243","543,957","526,714","537,151","548,611","561,794","583,414","607,354","603,202","586,562","580,164","600,605","620,426","652,393","670,662","701,147","696,979","744,664","769,363","674,357","722,516","723,507","739,036","744,126","741,961","736,536","730,638","675,205","644,431","645,915","623,832","599,722","601,720","614,721","622,945","619,762","611,240","619,509","622,257","576,307","606,106","603,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"142,266","142,103","155,263","173,232","180,787","174,275","185,309","207,865","234,518","253,123","272,674","288,999","330,721","370,581","378,835","377,776","420,661","477,480","511,668","451,900","382,612","352,407","314,441","308,251","311,980","315,257","335,829","349,660","380,731","365,367","374,048","384,670","399,471","422,266","401,065","394,455","417,839","432,969","461,773","472,228","455,825","479,661","428,283","480,507","480,422","455,899","469,598","460,954","422,379","399,195","379,283","369,063","373,429","364,610","367,502","377,952","386,981","384,324","380,941","383,111","369,664","383,516","382,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"106,971","116,813","120,089","121,231","123,327","110,675","118,225","111,571","124,354","129,121","126,169","133,161","146,327","156,521","158,426","154,673","166,959","163,936","172,332","186,730","163,682","143,907","130,099","148,093","140,833","151,737","133,303","133,216","135,516","143,576","142,439","135,154","139,897","149,526","148,716","155,992","166,438","160,519","159,543","173,185","165,428","156,398","161,571","157,136","176,136","182,921","194,283","206,442","192,417","182,297","171,656","177,760","173,248","172,419","168,456","165,080","166,887","172,462","171,556","175,194","174,600","175,893","175,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"418,929","441,038","462,642","467,240","473,652","494,612","535,629","547,089","565,296","588,078","618,277","647,225","708,734","727,331","685,130","636,312","706,387","754,860","743,733","735,741","658,887","611,184","600,316","638,834","705,548","694,797","730,781","761,413","799,693","745,095","715,480","705,946","734,150","759,709","769,268","815,328","852,728","858,408","868,642","863,324","906,487","900,456","876,330","900,018","930,984","947,056","918,121","920,732","883,566","798,784","875,156","830,733","802,771","812,705","834,289","857,023","879,043","886,157","906,496","906,062","808,156","882,990","903,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"101,649","96,651","104,594","110,136","109,579","106,897","112,532","116,513","122,200","119,620","115,352","119,462","120,172","120,862","117,592","116,903","116,538","115,140","120,575","136,221","126,840","126,589","122,775","124,191","122,464","118,168","118,999","116,746","115,240","118,036","112,054","113,247","117,579","115,068","116,351","113,693","118,582","119,917","112,773","123,412","119,333","137,162","123,512","121,722","133,016","136,531","136,542","139,972","137,092","127,743","148,277","184,822","199,212","222,215","236,320","193,722","164,565","183,786","189,712","188,018","163,341","168,319","169,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"136,000","138,374","141,446","151,176","147,140","140,541","151,343","158,852","177,862","182,782","192,242","195,489","211,472","214,162","210,070","208,267","229,551","231,193","246,421","224,645","189,490","176,315","184,673","195,549","187,410","189,263","191,720","200,556","215,764","206,709","205,026","200,522","203,315","199,079","206,553","209,703","232,216","230,493","243,768","246,043","221,604","215,468","222,228","229,099","233,553","228,762","228,780","229,195","219,571","216,104","243,230","231,425","233,031","231,611","234,466","234,270","232,841","233,518","239,319","242,928","228,346","236,567","236,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"83,382","88,309","94,812","98,991","97,142","96,289","108,409","112,063","116,297","129,831","139,870","149,111","153,180","150,480","139,001","137,438","159,996","158,532","158,511","137,488","133,609","122,799","114,853","112,789","134,577","129,981","156,111","166,118","167,452","173,652","159,032","146,347","146,937","147,279","151,807","150,696","155,699","159,259","168,062","173,701","168,959","166,694","176,568","200,220","205,481","190,420","167,795","165,020","160,994","154,095","148,187","147,637","138,269","144,512","155,001","152,764","146,743","152,661","155,693","152,438","136,973","141,923","148,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"955,611","969,056","1,039,261","1,062,840","1,079,414","1,072,225","1,152,190","1,252,470","1,311,960","1,372,768","1,439,875","1,417,667","1,551,304","1,578,425","1,414,664","1,269,139","1,348,518","1,365,149","1,361,982","1,317,117","1,249,507","1,159,200","1,191,430","1,177,466","1,271,714","1,191,379","1,272,286","1,273,285","1,259,554","1,258,947","1,127,887","1,125,667","1,123,664","1,089,682","1,169,163","1,146,903","1,120,749","1,134,515","1,114,078","1,159,974","1,190,347","1,193,427","1,178,970","1,146,359","1,164,799","1,225,835","1,175,190","1,241,757","1,216,492","1,030,179","919,715","931,578","884,720","878,077","856,154","877,467","888,433","859,353","889,163","843,702","687,162","748,988","768,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"106,623","107,071","114,724","117,912","125,717","127,993","126,340","125,949","143,512","147,150","155,743","157,066","173,727","191,733","193,141","199,475","202,452","212,605","215,103","214,617","201,366","213,772","187,749","208,526","202,016","188,716","188,641","197,109","198,678","199,118","210,758","226,518","231,443","232,189","221,276","204,586","206,197","217,240","228,647","238,816","231,369","238,316","243,128","248,457","255,866","254,624","268,257","277,635","241,949","226,557","226,019","232,633","233,394","232,460","240,408","237,701","235,531","249,095","257,638","262,361","236,947","261,745","253,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"54,380","62,004","67,559","71,529","75,647","69,877","72,019","75,859","84,601","87,394","90,440","96,024","103,141","110,673","109,083","115,914","115,566","127,198","149,414","138,630","147,127","130,637","128,355","138,721","135,708","135,732","141,930","153,921","166,087","175,143","168,907","174,349","178,800","190,337","200,260","206,975","224,190","214,249","220,582","225,010","233,204","247,451","234,506","239,284","260,161","275,627","291,217","285,879","259,144","237,095","282,396","267,077","261,495","268,244","275,622","266,639","289,395","306,556","308,301","306,530","245,301","285,536","302,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
